State_Code,State,Percent_Change
AK,Alaska,0.09
AL,Alabama,2.11
AZ,Arizona,8.16
CA,California,3.37
CO,Colorado,2.34
CT,Connecticut,4.34
DC,District of Columbia,-2.99
DE,Delaware,3.29
FL,Florida,7.99
GA,Georgia,0.88
IA,Iowa,-0.3
IN,Indiana,9.87
KS,Kansas,3.48
LA,Louisiana,3.97
MD,Maryland,2.69
ME,Maine,1.39
MN,Minnesota,4.68
MT,Montana,3.81
NC,North Carolina,5.51
NE,Nebraska,5.69
NJ,New Jersey,1.22
NM,New Mexico,2.14
NV,Nevada ,6.62
NY,New York,10.7
OH,Ohio,5.95
OK,Oklahoma,4.12
OR,Oregon,1.63
PA,Pennsylvania,16.14
RI,Rhode Island,11.05
SD,South Dakota,-1.4
TN,Tennessee,3.82
TX,Texas,0.12
UT,Utah,0.13
VA,Virginia,10.49
VT,Vermont,6.05
WA,Washington,3.57
WI,Wisconsin,5.64
WV,West Virginia,-11.52
WY,Wyoming,-7.1